simulated time	num cells	num division	num death	wall time
0	433	433	0	-1.53629e+009
10	434	1	0	-1.53629e+009
20	434	0	0	-1.53629e+009
30	434	0	0	-1.53629e+009
40	434	0	0	-1.53629e+009
50	434	0	0	-1.53629e+009
60	434	0	0	-1.53629e+009
70	434	0	0	-1.53629e+009
80	434	0	0	-1.53629e+009
90	434	0	0	-1.53629e+009
100	434	0	0	-1.53629e+009
110	434	0	0	-1.53629e+009
120	434	0	0	-1.53629e+009
130	434	0	0	-1.53629e+009
140	434	0	0	-1.53629e+009
150	434	0	0	-1.53629e+009
160	434	0	0	-1.53629e+009
170	434	0	0	-1.53629e+009
180	434	0	0	-1.53629e+009
190	434	0	0	-1.53629e+009
200	434	0	0	-1.53629e+009
210	434	0	0	-1.53629e+009
220	434	0	0	-1.53629e+009
230	434	0	0	-1.53629e+009
240	434	0	0	-1.53629e+009
250	434	0	0	-1.53629e+009
260	435	1	0	-1.53629e+009
270	435	0	0	-1.53629e+009
280	435	0	0	-1.53629e+009
290	435	0	0	-1.53629e+009
300	435	0	0	-1.53629e+009
310	436	1	0	-1.53629e+009
320	436	0	0	-1.53629e+009
330	436	0	0	-1.53629e+009
340	436	0	0	-1.53629e+009
350	438	2	0	-1.53629e+009
360	438	0	0	-1.53629e+009
370	438	0	0	-1.53629e+009
380	438	0	0	-1.53629e+009
390	438	0	0	-1.53629e+009
400	438	0	0	-1.53629e+009
410	438	0	0	-1.53629e+009
420	438	0	0	-1.53629e+009
430	438	0	0	-1.53629e+009
440	439	1	0	-1.53629e+009
450	439	0	0	-1.53629e+009
460	439	0	0	-1.53629e+009
470	440	1	0	-1.53629e+009
480	440	0	0	-1.53629e+009
490	440	0	0	-1.53629e+009
500	441	1	0	-1.53629e+009
510	441	0	0	-1.53629e+009
520	441	0	0	-1.53629e+009
530	441	0	0	-1.53629e+009
540	441	0	0	-1.53629e+009
550	443	2	0	-1.53629e+009
560	444	1	0	-1.53629e+009
570	445	1	0	-1.53629e+009
580	446	1	0	-1.53629e+009
590	446	0	0	-1.53629e+009
600	446	0	0	-1.53629e+009
610	446	0	0	-1.53629e+009
620	447	1	0	-1.53629e+009
630	447	0	0	-1.53629e+009
640	446	0	1	-1.53629e+009
650	446	0	0	-1.53629e+009
660	446	0	0	-1.53629e+009
670	446	0	0	-1.53629e+009
680	445	1	2	-1.53629e+009
690	445	0	0	-1.53629e+009
700	446	2	1	-1.53629e+009
710	446	0	0	-1.53629e+009
720	446	0	0	-1.53629e+009
730	446	0	0	-1.53629e+009
740	445	0	1	-1.53629e+009
750	445	0	0	-1.53629e+009
760	444	0	1	-1.53629e+009
770	444	0	0	-1.53629e+009
780	443	0	1	-1.53629e+009
790	443	0	0	-1.53629e+009
800	443	0	0	-1.53629e+009
810	443	0	0	-1.53629e+009
820	443	0	0	-1.53629e+009
830	442	1	2	-1.53629e+009
840	442	0	0	-1.53629e+009
850	441	0	1	-1.53629e+009
860	443	2	0	-1.53629e+009
870	443	1	1	-1.53629e+009
880	443	0	0	-1.53629e+009
890	444	1	0	-1.53629e+009
900	444	0	0	-1.53629e+009
910	444	0	0	-1.53629e+009
920	444	0	0	-1.53629e+009
930	444	0	0	-1.53629e+009
940	445	1	0	-1.53629e+009
950	445	0	0	-1.53629e+009
960	443	0	2	-1.53629e+009
970	443	0	0	-1.53629e+009
980	442	0	1	-1.53629e+009
990	442	0	0	-1.53629e+009
1000	442	0	0	-1.53629e+009
1010	442	0	0	-1.53629e+009
1020	442	0	0	-1.53629e+009
1030	443	1	0	-1.53629e+009
1040	441	0	2	-1.53629e+009
1050	440	0	1	-1.53629e+009
1060	440	1	1	-1.53629e+009
1070	440	0	0	-1.53629e+009
1080	439	0	1	-1.53629e+009
1090	439	0	0	-1.53629e+009
1100	439	1	1	-1.53629e+009
1110	439	0	0	-1.53629e+009
1120	439	0	0	-1.53629e+009
1130	439	0	0	-1.53629e+009
1140	438	0	1	-1.53629e+009
1150	439	1	0	-1.53629e+009
1160	439	0	0	-1.53629e+009
1170	439	0	0	-1.53629e+009
1180	438	0	1	-1.53629e+009
1190	440	2	0	-1.53629e+009
1200	440	0	0	-1.53629e+009
1210	440	0	0	-1.53629e+009
1220	440	0	0	-1.53629e+009
1230	440	0	0	-1.53629e+009
1240	440	0	0	-1.53629e+009
1250	439	0	1	-1.53629e+009
1260	439	0	0	-1.53629e+009
1270	441	2	0	-1.53629e+009
1280	439	0	2	-1.53629e+009
1290	439	0	0	-1.53629e+009
1300	439	0	0	-1.53629e+009
1310	439	0	0	-1.53629e+009
1320	439	0	0	-1.53629e+009
1330	439	0	0	-1.53629e+009
1340	439	0	0	-1.53629e+009
1350	439	0	0	-1.53629e+009
1360	439	0	0	-1.53629e+009
1370	439	0	0	-1.53629e+009
1380	439	0	0	-1.53629e+009
1390	438	0	1	-1.53629e+009
1400	438	1	1	-1.53629e+009
1410	438	0	0	-1.53629e+009
1420	438	0	0	-1.53629e+009
1430	436	0	2	-1.53629e+009
1440	436	0	0	-1.53629e+009
1450	439	3	0	-1.53629e+009
1460	439	0	0	-1.53629e+009
1470	439	0	0	-1.53629e+009
1480	440	1	0	-1.53629e+009
1490	441	1	0	-1.53629e+009
1500	441	0	0	-1.53629e+009
1510	441	0	0	-1.53629e+009
1520	442	1	0	-1.53629e+009
1530	442	0	0	-1.53629e+009
1540	443	1	0	-1.53629e+009
1550	444	1	0	-1.53629e+009
1560	444	0	0	-1.53629e+009
1570	443	0	1	-1.53629e+009
1580	443	1	1	-1.53629e+009
1590	445	2	0	-1.53629e+009
1600	446	1	0	-1.53629e+009
1610	446	0	0	-1.53629e+009
1620	448	2	0	-1.53629e+009
1630	448	0	0	-1.53629e+009
1640	447	0	1	-1.53629e+009
1650	447	0	0	-1.53629e+009
1660	447	0	0	-1.53629e+009
